location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2454,"Sheffield Tinsley","no2",3,"µg/m³","2024-01-01T02:00:00Z","2024-01-01T02:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",3,"µg/m³","2024-01-01T03:00:00Z","2024-01-01T03:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",1,"µg/m³","2024-01-01T04:00:00Z","2024-01-01T04:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",1,"µg/m³","2024-01-01T05:00:00Z","2024-01-01T05:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",3,"µg/m³","2024-01-01T06:00:00Z","2024-01-01T06:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",4,"µg/m³","2024-01-01T07:00:00Z","2024-01-01T07:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",6,"µg/m³","2024-01-01T08:00:00Z","2024-01-01T08:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",5,"µg/m³","2024-01-01T09:00:00Z","2024-01-01T09:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",9,"µg/m³","2024-01-01T10:00:00Z","2024-01-01T10:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",10,"µg/m³","2024-01-01T11:00:00Z","2024-01-01T11:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",8,"µg/m³","2024-01-01T12:00:00Z","2024-01-01T12:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",11,"µg/m³","2024-01-01T13:00:00Z","2024-01-01T13:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",14,"µg/m³","2024-01-01T14:00:00Z","2024-01-01T14:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",16,"µg/m³","2024-01-01T15:00:00Z","2024-01-01T15:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",17,"µg/m³","2024-01-01T16:00:00Z","2024-01-01T16:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",21,"µg/m³","2024-01-01T17:00:00Z","2024-01-01T17:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",21,"µg/m³","2024-01-01T18:00:00Z","2024-01-01T18:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",19,"µg/m³","2024-01-01T19:00:00Z","2024-01-01T19:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",19,"µg/m³","2024-01-01T20:00:00Z","2024-01-01T20:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",6,"µg/m³","2024-01-01T21:00:00Z","2024-01-01T21:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",6,"µg/m³","2024-01-01T22:00:00Z","2024-01-01T22:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",6,"µg/m³","2024-01-01T23:00:00Z","2024-01-01T23:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",7,"µg/m³","2024-01-02T00:00:00Z","2024-01-02T00:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",10,"µg/m³","2024-01-02T02:00:00Z","2024-01-02T02:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",10,"µg/m³","2024-01-02T03:00:00Z","2024-01-02T03:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",2,"µg/m³","2024-01-02T04:00:00Z","2024-01-02T04:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",2,"µg/m³","2024-01-02T05:00:00Z","2024-01-02T05:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",10,"µg/m³","2024-01-02T06:00:00Z","2024-01-02T06:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",14,"µg/m³","2024-01-02T07:00:00Z","2024-01-02T07:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",18,"µg/m³","2024-01-02T08:00:00Z","2024-01-02T08:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",21,"µg/m³","2024-01-02T09:00:00Z","2024-01-02T09:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",27,"µg/m³","2024-01-02T10:00:00Z","2024-01-02T10:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",32,"µg/m³","2024-01-02T11:00:00Z","2024-01-02T11:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",45,"µg/m³","2024-01-02T12:00:00Z","2024-01-02T12:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",45,"µg/m³","2024-01-02T13:00:00Z","2024-01-02T13:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",40,"µg/m³","2024-01-02T14:00:00Z","2024-01-02T14:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",43,"µg/m³","2024-01-02T15:00:00Z","2024-01-02T15:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",23,"µg/m³","2024-01-02T16:00:00Z","2024-01-02T16:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",46,"µg/m³","2024-01-02T17:00:00Z","2024-01-02T17:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",42,"µg/m³","2024-01-02T18:00:00Z","2024-01-02T18:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",41,"µg/m³","2024-01-02T20:00:00Z","2024-01-02T20:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",39,"µg/m³","2024-01-02T22:00:00Z","2024-01-02T22:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",39,"µg/m³","2024-01-02T23:00:00Z","2024-01-02T23:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",24,"µg/m³","2024-01-03T00:00:00Z","2024-01-03T00:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",9,"µg/m³","2024-01-03T02:00:00Z","2024-01-03T02:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",9,"µg/m³","2024-01-03T03:00:00Z","2024-01-03T03:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",13,"µg/m³","2024-01-03T04:00:00Z","2024-01-03T04:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",13,"µg/m³","2024-01-03T05:00:00Z","2024-01-03T05:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",29,"µg/m³","2024-01-03T06:00:00Z","2024-01-03T06:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",56,"µg/m³","2024-01-03T07:00:00Z","2024-01-03T07:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",47,"µg/m³","2024-01-03T08:00:00Z","2024-01-03T08:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",61,"µg/m³","2024-01-03T09:00:00Z","2024-01-03T09:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",53,"µg/m³","2024-01-03T10:00:00Z","2024-01-03T10:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",48,"µg/m³","2024-01-03T11:00:00Z","2024-01-03T11:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",49,"µg/m³","2024-01-03T12:00:00Z","2024-01-03T12:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",58,"µg/m³","2024-01-03T13:00:00Z","2024-01-03T13:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",55,"µg/m³","2024-01-03T14:00:00Z","2024-01-03T14:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",62,"µg/m³","2024-01-03T15:00:00Z","2024-01-03T15:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",55,"µg/m³","2024-01-03T16:00:00Z","2024-01-03T16:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",72,"µg/m³","2024-01-03T17:00:00Z","2024-01-03T17:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",63,"µg/m³","2024-01-03T18:00:00Z","2024-01-03T18:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",63,"µg/m³","2024-01-03T19:00:00Z","2024-01-03T19:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
2454,"Sheffield Tinsley","no2",63,"µg/m³","2024-01-03T20:00:00Z","2024-01-03T20:00:00Z","Europe/London",53.41058,-1.396139,,,,"Unknown Governmental Organization","DEFRA"
